GEOID,tract_name,total_population,black_alone,pct_black,white_alone,pct_white,asian_alone,pct_asian,hispanic_latino,pct_hispanic,median_household_income,below_poverty,pct_poverty
42101000101,Census Tract 1.01; Philadelphia County; Pennsylvania,1947,31,1.6,1665,85.5,101,5.2,248,12.7,117250,14,0.7
42101000102,Census Tract 1.02; Philadelphia County; Pennsylvania,2897,117,4.0,2565,88.5,116,4.0,104,3.6,94974,194,6.8
42101000200,Census Tract 2; Philadelphia County; Pennsylvania,3486,174,5.0,1411,40.5,1724,49.5,174,5.0,98994,648,19.2
42101000300,Census Tract 3; Philadelphia County; Pennsylvania,3914,346,8.8,2361,60.3,758,19.4,230,5.9,95234,299,8.3
42101000401,Census Tract 4.01; Philadelphia County; Pennsylvania,2675,420,15.7,1542,57.6,563,21.0,97,3.6,86293,508,19.3
42101000403,Census Tract 4.03; Philadelphia County; Pennsylvania,1047,29,2.8,878,83.9,90,8.6,68,6.5,181066,69,6.6
42101000404,Census Tract 4.04; Philadelphia County; Pennsylvania,3130,200,6.4,2481,79.3,317,10.1,31,1.0,90980,196,6.3
42101000500,Census Tract 5; Philadelphia County; Pennsylvania,3057,911,29.8,1335,43.7,507,16.6,299,9.8,69267,422,21.8
42101000600,Census Tract 6; Philadelphia County; Pennsylvania,1536,192,12.5,989,64.4,325,21.2,109,7.1,97794,147,9.8
42101000701,Census Tract 7.01; Philadelphia County; Pennsylvania,1807,4,0.2,1440,79.7,341,18.9,104,5.8,86809,255,14.2
42101000702,Census Tract 7.02; Philadelphia County; Pennsylvania,2248,23,1.0,1112,49.5,740,32.9,213,9.5,79926,154,6.9
42101000801,Census Tract 8.01; Philadelphia County; Pennsylvania,1735,33,1.9,1301,75.0,161,9.3,62,3.6,126726,92,5.4
42101000803,Census Tract 8.03; Philadelphia County; Pennsylvania,2998,70,2.3,2407,80.3,288,9.6,183,6.1,82112,343,11.4
42101000805,Census Tract 8.05; Philadelphia County; Pennsylvania,2582,43,1.7,1914,74.1,411,15.9,94,3.6,84773,156,6.1
