GEOID,NAME,stb_priority_rank,stb_priority_score,total_shootings,annual_shootings,time_to_nearest,total_population,potential_lives_saved_annually,pct_black,pct_poverty
42101030000,300,1.0,88.28431372549021,253,23.0,15,8294,0.7,57.7,38.0
42101033000,330,2.0,83.18627450980392,66,6.0,20,10323,0.2,22.9,30.4
42101029800,298,3.0,77.94117647058823,84,7.636363636363637,15,5299,0.2,46.4,36.4
42101017800,178,4.0,77.79411764705883,371,33.72727272727273,10,6592,1.0,32.6,40.6
42101006300,63,5.0,77.72058823529412,89,8.090909090909092,15,4415,0.2,82.3,39.5
42101032600,326,6.0,77.3529411764706,41,3.727272727272727,20,7012,0.1,10.2,10.6
42101029900,299,7.0,77.25490196078431,89,8.090909090909092,15,4475,0.2,53.4,40.6
42101019200,192,8.0,75.68627450980392,162,14.727272727272727,10,8914,0.4,22.4,45.3
42101015200,152,9.0,74.80392156862746,207,18.818181818181817,10,5975,0.6,82.8,29.9
42101032500,325,10.0,74.26470588235294,60,5.454545454545454,15,6195,0.2,17.4,23.4
42101006200,62,11.0,74.16666666666667,64,5.818181818181818,15,4394,0.2,87.9,13.8
42101008500,85,12.0,73.33333333333334,143,13.0,10,6515,0.4,83.4,30.0
42101017702,177.02,13.0,73.18627450980392,248,22.545454545454547,10,4726,0.7,12.2,61.7
42101006000,60,14.0,73.08823529411765,61,5.545454545454546,15,6440,0.2,74.5,22.5
42101028300,283,15.0,72.64705882352942,126,11.454545454545455,10,6545,0.3,78.7,47.5
42101008302,83.02,16.0,72.59803921568627,149,13.545454545454545,10,4844,0.4,91.4,30.1
42101026700,267,17.0,71.91176470588235,97,8.818181818181818,10,7518,0.3,94.9,19.2
42101011200,112,18.0,71.47058823529412,119,10.818181818181818,10,5307,0.3,95.4,43.7
42101015102,151.02,19.0,71.32352941176471,153,13.909090909090908,10,4930,0.4,93.6,37.6
42101032000,320,20.0,71.12745098039215,25,2.272727272727273,15,7873,0.1,7.2,21.8
